header,description,platforms
SystemPartitionStatus,An event that contains information about the device system partition. This event is deprecated as of Android sensor version 2021.09.3060002.,Android
SystemTokenStolen,An event that indicates that system token stealing was detected.,Windows
SystemUpdatesBlockedByDNS,Indicates that OS updates have been blocked via DNS.,iOS
SystemUpdatesBlockedByFilesystem,Indicates that OS updates have been blocked via the filesystem.,iOS
SystemUpdatesBlockedByHTTP,Indicates that OS updates have been blocked via HTTP.,iOS
TarFileWritten,Emitted when a process is done writing a Tar file.,"macOS, Linux, Windows"
TccModification,,macOS
TcgPcrInfo,An event that contains the Platform Configuration Register (PCR) values.,Windows
TerminalSavedStateInfo,MacOS terminal saved state information.,Forensics
TerminateProcess,This event is thrown when a process exits normally or is forcibly terminated. Platforms: ChromeOS,"Windows, macOS, Linux, Falcon Container"
TerminateRemoteProcessEtw,,Windows
ThreadBlocked,Reports the status of a block thread attempt.,Windows
ThreadPreviousModeMismatch,,Windows
TiffFileWritten,,"Linux, macOS, Windows"
TlsClientHello,Platforms: macOS,"Linux, Windows"
TokenImpersonated,An event that contains detailed before and after impersonation information for detection telemetry.,Windows
TrampolineDetected,"An event that indicates a C function has been tampered with. In iOS jailbreak, functions are modified by adding an unconditional trampoline in the first 4 words. FunctionName contains the function that has been determined to have been tampered with, ImageFileName contains the path to the image where the trampoline jumps to, and ExecutableBytes contains the first 4 words of the tampered-with function where the trampoline was detected.",iOS
TriggeredMemoryDumpResponse,,Windows
UACAxisElevation,This UAC event indicates an attempt has been made to elevate the security privileges of a target ActiveX Installation Service (AXIS).,Windows
UACCOMElevation,This UAC event indicates an attempt has been made to elevate the security privileges of a target COM object.,Windows
UACCredentialCaptureElevation,This UAC event indicates the UAC consent.exe application was used by Windows to refresh the smart card credentials after a configurable timeout has expired.,Windows
UACExeElevation,This UAC event indicates an attempt has been made to elevate the security privileges of a target executable.,Windows
UACMSIElevation,This UAC event indicates an attempt has been made to elevate the security privileges of a target MSI.,Windows
UmppaErrorEvent,,Windows
UmppcDetectInfo,An event that describes a UMPPC-based detection.,Windows
UmppcEntryAnomaly,,Windows
UnclassifiedRegValueUpdate,,Windows
UncontainerizeAppResponse,"Sent in response to UncontainerizeApp, containing response information for the operation.",Android
UnexpectedDynamicLibraryLoaded,An event that indicates that an unexpected dynamic library was loaded at runtime.,iOS
UnexpectedEnvironmentVariable,An event that indicates some dangerous environment variables have made it to the app at runtime.,iOS
UnexpectedFileFound,An event that indicates a file that should not exist on the device has been found. Platforms: Android An event that indicates a file that should not exist on the device has been found.,iOS
UnixFileWritten,,Android
UnixName,,Linux
UnsignedModuleLoad,This event contains information about an unsigned module that was loaded into a target process. It combines relevant information from the ImageHash and SignInfoWithCertAndContext events for the unsigned module.,Windows
UpdateManifestDownloadComplete,An update manifest download has completed.,Windows
UsbDeviceInfo,Information on each USB device attachment.,Forensics
UserAccessLogEntry,Per-user access log information for the year for a service role and IP address pair on Windows servers.,Forensics
UserAccount,Describes an observed user account.,Forensics
UserAccountAddedToGroup,"This event is generated when an existing user account is added to an existing group. The data will indicate the initial process (command-line tool, custom utility, or GUI application) or remote address/hostname that resulted in this action. The group RID will indicate which group this user was added to. Of interest, for example, is a user being added to the “Administrators” group. Platforms: Linux",Windows
UserAccountCreated,"Platforms: Windows This event is generated when a new user account is created. The data will indicate the initial process (command-line tool, custom utility, or GUI application) or remote address/hostname that resulted in this action.",Linux
UserAccountDeleted,"This event is generated when a user account is deleted. The data will indicate the initial process (command-line tool, custom utility, or GUI application) or remote address/hostname that resulted in this action. Platforms: Forensics User account deleted. Platforms: Linux",Windows
UserAccountRemovedFromGroup,,"Windows, Linux"
UserAssistAppLaunchInfo,Application launched via user-assisted GUI menu.,Forensics
UserEatAccessMonitoring,,Windows
UserExceptionDEP,This event is emitted when a userspace process is detected as having has a DEP or NX-related exception.,Windows
UserFontLoad,An event that is sent when a user mode program attempts to add a font.,Windows
UserGroupCreated,,Linux
UserGroupDeleted,,Linux
UserIdentity,"The UserIdentity event is generated when a user logs in to a host. It conveys important security-related characteristics associated with a user to the CrowdStrike cloud, such as the user name. Platforms: Forensics, Linux","Windows, macOS"
UserInformationEtw,An event that indicates the password of a user was changed or set and other user information taken from UserLogonEtw.,Windows
UserLogoff,"This event is generated when a user logs off from a host. Platforms: ChromeOS, Linux","macOS, Windows"
UserLogon,This event is generated when a user logs on to a host. Platforms: ChromeOS,"Linux, macOS, Windows"
UserLogonFailed,This event is generated when a user logon fails.,Windows
UserLogonFailed2,"An event that indicates that a local user attempted to logon, but failed due to bad password. LogonTime is the last successful logon time. The remote information will be present only if the logon originated over the network. RawProcessId will attribute a pid if relevant. Platforms: ChromeOS, macOS, Linux",Windows
UserSetProcessBreakOnTermination,,Windows
USNRecord,,Forensics
VdiFileWritten,,"macOS, Linux, Windows"
VerifyAppsDisabled,This event has been deprecated.,Android
VirtualMemoryArea,,Linux
VMClusterInfo,Event sent periodically to let the cloud know that the sensor is running with the following VM cluster data.,Vmcluster
VmcSensorStatus,This event is sent to provide VMC sensor operational status.,Vmcluster
VmcVmAsset,This event is sent to provide VMware vCenter VM information.,Vmcluster
VmdkFileWritten,,"macOS, Windows, Linux"
VolumeSnapshotCreated,A volume snapshot has been created.,Windows
VolumeSnapshotDeleted,A volume snapshot has been deleted.,Windows
VolumeSnapshotOperationBlocked,"Event describing a snapshot volume block operation. IFN and CL are based upon the RpcProcessId, in VSS operations only RPC tree is relevant.",Windows
VulnerableDriverDetectInfo,,Windows
WebScriptFileWritten,,"Linux, Windows, macOS"
WebShellDetected,"To identify webshell script files in a target folder, the content of each text file is matched against a large built-in list of regular expressions.",Forensics
WfpFilterTamperingFilterAdded,This event is created whenever WFP indicates to our callout driver that a new filter that references one of our callout functions has been added to the Base Filtering Engine.,Windows
WfpFilterTamperingFilterDeleted,This event is created whenever WFP indicates to our callout driver that a filter that references one of our callout functions has been deleted from the Base Filtering Engine.,Windows
WiFiConnect,Sent when a device connects to a WiFi network. This event is only sent if the Connected Wi-Fi networks setting is enabled in Mobile Policies.,"Android, iOS"
WiFiDisconnect,Sent when a device disconnects from a WiFi network. This event is only sent if the Connected Wi-Fi networks setting is enabled in Mobile Policies.,"Android, iOS"
WindowsTimelineEntry,,Forensics
WindowsTimelineEntryTimestamp,,Forensics
WlanInterfaceInfo,,Forensics
WmiCreateProcess,"Windows Management Instrumentation (WMI) is a default service installed on machines with Windows XP and newer. WMI is the infrastructure for management data and operations which allows a user to remotely manage machines and automate administrative tasks. WMI also supports scripting languages such as PowerShell and VBScript. Adversaries have utilized the WMI service to install implants, tools and perform credential theft via scripting in an effort to maneuver throughout customer environments. The Enhanced Attacker Execution Profiling (EAEP) event “WmiCreateProcess” will be useful in tracking the adversary’s lateral activity and/or origin of an attack during an intrusion. The Enhanced Attacker Execution Profiling (EAEP) event category focuses on gathering additional endpoint data on things like service creation, scheduled tasks, firewall rule modification, etc. This event is emitted when it is determined WMI was used to start a new process. ProcessRollup2 may also be updated to include RPC client information if available. There may be some known inconsistencies with attribution of the real RPC client data here, due to worker thread indirection that occurs within the WMI service process. If so, a later update will resolve those inconsistencies.",Windows
WmiFilterConsumerBindingEtw,An event that is emitted when a WMI (Windows Management Instrumentation) consumer instance gets bound to a filter instance. Captured using the ETW consumer.,Windows
WmiProviderRegistrationEtw,An event that is emitted when a WMI (Windows Management Instrumentation) provider gets registered. Captured using the ETW consumer.,Windows
WmiQuery,Windows Management Instrumentation (WMI) query status.,Forensics
WmiQueryDetectInfo,,Windows
WroteExeAndGeneratedServiceEvent,Indicates a process both wrote an executable and generated a service event.,Windows
WSLDistributionRegistered,A user registers a Linux distribution but hasn’t started it yet.,Windows
WSLDistributionStarted,The Linux distribution starts.,Windows
WSLDistributionStopping,The Linux distribution is stopping.,Windows
WSLDistributionUnregistered,A user unregisters a Linux distribution.,Windows
WSLMetadata,,Linux
WSLVMStarted,The Linux Virtual Machine Root Namespace starts.,Windows
WSLVMStopping,The Linux Virtual Machine Root Namespace is stopping.,Windows
XarFileWritten,Emitted when a process is done writing a Xar file. macOS installer files are of this type.,"macOS, Linux, Windows"
XProtectAction,,macOS
XumdHookEvent,,Windows
XumdStatus,,Windows
XzFileWritten,,"macOS, Linux, Windows"
Yz1FileWritten,,Windows
ZerologonExploitAttempt,,Windows
ZipFileWritten,This event is generated when a ZIP file type (.zip) is written to disk.,"Windows, macOS, Linux"
ZpaqFileWritten,,Windows
ZstdFileWritten,,"Linux, macOS, Windows"
